,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,generos
227,227,SABOR FRESA,0.778,0.864,0.0907,0.0898,130.17,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
228,228,Un Desperdicio,0.764,0.668,0.101,0.143,148.055,"['r&b en espanol', 'spanish hip hop', 'trap latino', 'urbano espanol', 'urbano latino']"
229,229,ATEO,0.772,0.807,0.519,0.00391,83.828,"['alternative hip hop', 'conscious hip hop', 'minnesota hip hop']"
230,230,"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",0.767,0.72,0.0659,0.0877,139.995,"['alternative r&b', 'art pop', 'escape room', 'persian electronic']"
231,231,Pacas De Billetes,0.718,0.726,0.0403,0.0889,142.986,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
232,232,LA PEOPLE,0.823,0.785,0.0542,0.296,131.849,[]
233,233,DEJA VU,0.723,0.618,0.0398,0.0148,127.989,"['atl hip hop', 'cloud rap', 'melodic rap', 'plugg']"
234,234,LOU LOU,0.739,0.579,0.0509,0.0622,130.002,"['corrido', 'sierreno']"
235,235,Moscow Mule,0.493,0.963,0.0638,2.25e-05,147.992,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']"
236,236,UNA CERVEZA,0.725,0.801,0.0372,0.0333,135.162,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
237,237,todo,0.848,0.895,0.241,0.0309,125.024,['mashup']
238,238,BELLAKEO,0.72,0.88,0.101,0.0562,180.011,"['corridos tumbados', 'sad sierreno']"
239,239,TQM,0.388,0.648,0.038,0.116,163.861,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
240,240,Diamantes,0.662,0.759,0.0353,0.389,92.438,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
241,241,Soy especial y ellos pa' pasar el rato,0.554,0.437,0.0853,0.705,138.382,[]
242,242,La Víctima,0.778,0.835,0.0767,0.152,140.082,['sad sierreno']
243,243,FARDOS,0.785,0.897,0.0332,0.14,121.982,[]
244,244,YW&F - Versión Reggaeton,0.7,0.608,0.0471,0.184,98.033,"['corrido', 'corridos tumbados', 'sierreno']"
245,245,SSS y no la de balvin,0.718,0.711,0.11,0.157,173.916,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
